date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:26	26836/26836	---MCZ	200	added ('OK')	text/css	etag:W/%2268d4-63cde6e1e8361%22	https://ecocash.co.zw/wp-content/uploads/ecocash-child/quadmenu-widgets.css?ver=1755775888	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/uploads/ecocash-child/quadmenu-widgets555b.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:27	80725/80725	---MCZ	200	added ('OK')	text/css	etag:W/%2213b55-6395b3c230880%22	https://ecocash.co.zw/wp-content/plugins/quadmenu/build/frontend/style.css?ver=3.2.4	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/quadmenu/build/frontend/stylee1e3.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:28	2841/2841	---MCZ	200	added ('OK')	text/css	etag:W/%22b19-6391787f0cc00%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus-tablet.css?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus-tablet8d9d.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:29	39594/39594	---MCZ	200	added ('OK')	text/css	etag:W/%229aaa-6391787f0cc00%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus.css?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus8d9d.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:29	111003/111003	---MCZ	200	added ('OK')	text/css	etag:W/%221b19b-63cde6e1ac658%22	https://ecocash.co.zw/wp-content/uploads/ecocash-child/quadmenu-locations.css?ver=1755775887	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/uploads/ecocash-child/quadmenu-locationsbfe4.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:29	59004/59004	---MCZ	200	added ('OK')	text/css	etag:W/%22e67c-645093b55f458%22	https://ecocash.co.zw/wp-includes/css/dashicons.min.css?ver=6.9.1	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-includes/css/dashicons.min4d80.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:30	206/206	---MCZ	200	added ('OK')	text/css	etag:W/%22ce-6391787f0cc00%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus-mobile.css?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/codevzplus-mobile8d9d.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:31	34380/34380	---MCZ	200	added ('OK')	text/css	etag:W/%22864c-63d336c4542f9%22	https://ecocash.co.zw/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.4.61756141129	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/chaty/css/chaty-front.mina025.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:31	21211/21211	---MCZ	200	added ('OK')	text/css	etag:W/%2252db-6391787e189c0%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.min.css?ver=6.4.2	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.min1e39.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:32	4227/4227	---MCZ	200	added ('OK')	text/css	etag:W/%221083-6391787f0cc00%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/elementor.css?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/assets/css/elementor8d9d.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:32	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%22120a2-6391787e189c0%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.min.css?ver=6.4.2	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.min1e39.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:33	465328/465328	---MCZ	200	added ('OK')	text/css	etag:W/%22719b0-639178d110d80%22	https://ecocash.co.zw/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=8.5	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/js_composer/assets/css/js_composer.min0dd0.css	(from https://ecocash.co.zw/kashagi-loans/)
11:29:34	195/195	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Feb%202026%2008:29:15%20GMT	http://ecocash.co.zw/wp-content/plugins/revslider/public/js/libs/tptools.js?ver=6.7.34	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/revslider/public/js/libs/tptools.1de00b.delayed	(from https://ecocash.co.zw/kashagi-loans/)
11:29:34	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%223509-5fdb0f5d4f900%22	https://ecocash.co.zw/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ecocash.co.zw/kashagi-loans/)
11:29:35	195/195	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Feb%202026%2008:29:17%20GMT	http://ecocash.co.zw/wp-content/plugins/revslider/public/js/sr7.js?ver=6.7.34	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/revslider/public/js/sr7e00b.js	(from https://ecocash.co.zw/kashagi-loans/)
11:29:36	1601/1601	---M--	200	added ('OK')	image/png	etag:%22641-63cda6611cb42%22	https://ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-32x32.png	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-32x32.png	(from https://ecocash.co.zw/kashagi-loans/)
11:29:37	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215601-60403dae33400%22	https://ecocash.co.zw/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-includes/js/jquery/jquery.minf43b.js	(from https://ecocash.co.zw/kashagi-loans/)
11:29:38	25019/25019	---M--	200	added ('OK')	image/png	etag:%2261bb-63cda66117552%22	https://ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-192x192.png	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-192x192.png	(from https://ecocash.co.zw/kashagi-loans/)
11:29:41	26049/26049	---M--	200	added ('OK')	image/png	etag:%2265c1-63cda6611b7ba%22	https://ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-180x180.png	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/uploads/2025/08/cropped-ecocash_favicon_-180x180.png	(from https://ecocash.co.zw/kashagi-loans/)
11:29:42	138715/138715	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Feb%202026%2008:29:21%20GMT	https://ecocash.co.zw/kashagi-loans/revslider/revslider.php	C:/My%20Web%20Sites/loans/ecocash.co.zw/kashagi-loans/revslider/revslider.php	(from https://ecocash.co.zw/kashagi-loans/)
11:29:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Feb%202026%2008:29:24%20GMT	https://ecocash.co.zw/kashagi-loans/${e?.bg?.image.src}	C:/My%20Web%20Sites/loans/ecocash.co.zw/kashagi-loans/${e1d2c	(from https://ecocash.co.zw/kashagi-loans/)
11:29:44	338381/338381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22529cd-639178dc82880%22	https://ecocash.co.zw/wp-content/plugins/revslider/public/js/sr7.js?ver=6.7.34	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/revslider/public/js/sr7e00b.js	(from https://ecocash.co.zw/kashagi-loans/)
11:29:45	209124/209124	---MCZ	200	added ('OK')	application/javascript	etag:W/%22330e4-639178dc82880%22	https://ecocash.co.zw/wp-content/plugins/revslider/public/js/libs/tptools.js?ver=6.7.34	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/revslider/public/js/libs/tptoolse00b.js	(from https://ecocash.co.zw/kashagi-loans/)
